imgHeight,imgWidth,imageId,imageId,imgData,extension,XMin,XMax,YMin,YMax,LabelName,LabelId
747,1024,c1a2437f344d4d89,c1a2437f344d4d89,1,jpg,0.3225,0.8875,0.288165,0.927959,b'Vehicle',2
747,1024,c1a2437f344d4d89,c1a2437f344d4d89,1,jpg,0.8775,0.97125,0.604631,0.7753,b'Vehicle',2
747,1024,c1a2437f344d4d89,c1a2437f344d4d89,1,jpg,0.39875,0.449375,0.881647,0.9039450000000001,b'Vehicle registration plate',1
747,1024,c1a2437f344d4d89,c1a2437f344d4d89,1,jpg,0.90625,0.929375,0.754717,0.7658659999999999,b'Vehicle registration plate',1
729,1024,731cf17803a8f2ff,731cf17803a8f2ff,1,jpg,0.18875,0.316875,0.497805,0.571554,b'Vehicle registration plate',1
729,1024,731cf17803a8f2ff,731cf17803a8f2ff,1,jpg,0.04875,0.96,0.15100999999999998,0.8884989999999999,b'Vehicle',2
638,1024,cd88d425b8af89eb,cd88d425b8af89eb,1,jpg,0.250324,0.7393,0.38125,0.779167,b'Vehicle registration plate',1
638,1024,cd88d425b8af89eb,cd88d425b8af89eb,1,jpg,0.0,0.9987030000000001,0.0,0.997917,b'Vehicle',2
683,1024,dc173696fb1a8359,dc173696fb1a8359,1,jpg,0.228125,0.9225,0.066604,0.9315200000000001,b'Vehicle',2
683,1024,dc173696fb1a8359,dc173696fb1a8359,1,jpg,0.453125,0.999375,0.0,0.791745,b'Vehicle',2
683,1024,dc173696fb1a8359,dc173696fb1a8359,1,jpg,0.53375,0.6325,0.816135,0.858349,b'Vehicle registration plate',1
683,1024,dc173696fb1a8359,dc173696fb1a8359,1,jpg,0.9375,0.998125,0.698874,0.733584,b'Vehicle registration plate',1
683,1024,dc173696fb1a8359,dc173696fb1a8359,1,jpg,0.00125,0.181875,0.49155699999999997,0.9052530000000001,b'Vehicle',2
1024,1024,7a928eba8d23ebdd,7a928eba8d23ebdd,1,jpg,0.067593,1.0,0.24722199999999997,0.957407,b'Vehicle',2
1024,1024,7a928eba8d23ebdd,7a928eba8d23ebdd,1,jpg,0.215741,0.455556,0.633333,0.775,b'Vehicle registration plate',1
