imgHeight,imgWidth,imageId,imageId,imgData,extension,XMin,XMax,YMin,YMax,LabelName,LabelId
1024,768,3f58f5a329c8429d,3f58f5a329c8429d,1,jpg,0.753232,0.955368,0.784379,0.902861,b'Vehicle registration plate',1
1024,768,3f58f5a329c8429d,3f58f5a329c8429d,1,jpg,0.0,1.0,0.161996,0.957636,b'Vehicle',2
768,1024,078a2dcd187924b1,078a2dcd187924b1,1,jpg,1e-06,0.014021,0.318148,0.328459,b'Vehicle registration plate',1
768,1024,078a2dcd187924b1,078a2dcd187924b1,1,jpg,0.364791,0.516907,0.512112,0.59365,b'Vehicle registration plate',1
768,1024,078a2dcd187924b1,078a2dcd187924b1,1,jpg,0.8822,0.895343,0.26982399999999995,0.27655100000000005,b'Vehicle registration plate',1
768,1024,078a2dcd187924b1,078a2dcd187924b1,1,jpg,0.114255,0.7953100000000001,0.018494999999999998,0.757627,b'Vehicle',2
768,1024,078a2dcd187924b1,078a2dcd187924b1,1,jpg,0.828909,0.914286,0.21936,0.302388,b'Vehicle',2
680,1024,463dc8c49938cf61,463dc8c49938cf61,1,jpg,0.604444,0.7742979999999999,0.49284799999999995,0.5961609999999999,b'Vehicle registration plate',1
680,1024,463dc8c49938cf61,463dc8c49938cf61,1,jpg,0.041498,0.9529770000000001,0.189099,0.956867,b'Vehicle',2
768,1024,2111181499c8ba37,2111181499c8ba37,1,jpg,0.30498000000000003,0.338539,0.9468120000000001,0.965307,b'Vehicle registration plate',1
768,1024,2111181499c8ba37,2111181499c8ba37,1,jpg,0.0,1.0,0.0,1.0,b'Vehicle',2
768,1024,2111181499c8ba37,2111181499c8ba37,1,jpg,0.12856199999999998,0.43491599999999997,0.788481,0.999424,b'Vehicle',2
577,1024,3199eb2b43f351eb,3199eb2b43f351eb,1,jpg,0.802832,0.8908520000000001,0.382972,0.441147,b'Vehicle registration plate',1
577,1024,3199eb2b43f351eb,3199eb2b43f351eb,1,jpg,0.00018700000000000002,0.96345,0.11926500000000001,0.7698649999999999,b'Vehicle',2
1024,832,7e97709a871678a9,7e97709a871678a9,1,jpg,0.313293,0.433253,0.796489,0.8237530000000001,b'Vehicle registration plate',1
1024,832,7e97709a871678a9,7e97709a871678a9,1,jpg,0.154501,0.9380780000000001,0.40111399999999997,0.904226,b'Vehicle',2
1024,832,7e97709a871678a9,7e97709a871678a9,1,jpg,0.9019379999999999,0.998859,0.451825,0.677358,b'Vehicle',2
1024,832,7e97709a871678a9,7e97709a871678a9,1,jpg,0.9430059999999999,1.0,0.39177199999999995,0.45449399999999995,b'Vehicle',2
1024,683,1577e2c94c6990c7,1577e2c94c6990c7,1,jpg,0.293742,0.331773,0.379258,0.393675,b'Vehicle registration plate',1
1024,683,1577e2c94c6990c7,1577e2c94c6990c7,1,jpg,0.6937399999999999,0.731841,0.360498,0.371628,b'Vehicle registration plate',1
1024,683,1577e2c94c6990c7,1577e2c94c6990c7,1,jpg,0.124673,0.401177,0.27833800000000003,0.43581099999999995,b'Vehicle',2
1024,683,1577e2c94c6990c7,1577e2c94c6990c7,1,jpg,0.5414329999999999,0.7938930000000001,0.29969,0.44515299999999997,b'Vehicle',2
1024,683,1577e2c94c6990c7,1577e2c94c6990c7,1,jpg,0.8079189999999999,1.0,0.32104299999999997,0.44915600000000006,b'Vehicle',2
768,1024,841716a692380cf5,841716a692380cf5,1,jpg,0.7120770000000001,0.792931,0.653798,0.7216859999999999,b'Vehicle registration plate',1
682,1024,83464c93e41b6272,83464c93e41b6272,1,jpg,0.36694299999999996,0.630367,0.734722,0.8463,b'Vehicle registration plate',1
682,1024,83464c93e41b6272,83464c93e41b6272,1,jpg,0.104725,0.884157,0.030133999999999998,0.962844,b'Vehicle',2
682,1024,83464c93e41b6272,83464c93e41b6272,1,jpg,0.671747,0.9994120000000001,0.060114,0.342524,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.566344,0.786515,0.792112,0.9011290000000001,b'Vehicle registration plate',1
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.0,0.09364700000000001,0.01641,0.23655700000000002,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.058585000000000005,0.091257,0.054213,0.109806,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.09763200000000001,0.169349,0.047542,0.090904,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.14385,0.24983200000000003,0.038647,0.105358,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.147834,0.904056,0.083121,0.9348,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.247442,0.303222,0.049766000000000005,0.083121,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.513594,1.0,0.045318000000000004,0.500066,b'Vehicle',2
734,1024,364e60c9e1919802,364e60c9e1919802,1,jpg,0.859432,1.0,0.058660000000000004,0.13649,b'Vehicle',2
477,1024,32c39d7bd9ae9edf,32c39d7bd9ae9edf,1,jpg,0.11507,0.137647,0.529936,0.626063,b'Vehicle registration plate',1
477,1024,32c39d7bd9ae9edf,32c39d7bd9ae9edf,1,jpg,0.09060399999999999,0.8632620000000001,0.11636500000000001,0.958728,b'Vehicle',2
